,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
992,City Hunter 3,TV,Manga,13.0,Finished Airing,1989-10-15,1990-01-21,24,PG-13 - Teens 13 or older,7.8,8923,954.0,4647,21589,50,fall,1989.0,"['Action', 'Comedy', 'Mystery']",[],['Shounen']
993,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,Special,Manga,1.0,Finished Airing,2022-01-19,,23,PG-13 - Teens 13 or older,7.8,29782,961.0,2495,72947,292,,,"['Fantasy', 'Slice of Life']",[],[]
994,Break Blade Movie 5: Shisen no Hate,Movie,Manga,1.0,Finished Airing,2011-01-22,,47,R - 17+ (violence & profanity),7.8,33452,953.0,2911,55451,28,,,"['Action', 'Fantasy']","['Adult Cast', 'Mecha', 'Military']",['Shounen']
995,Hidamari Sketch x ☆☆☆ Specials,Special,4-koma manga,2.0,Finished Airing,2010-10-23,2010-10-30,24,PG-13 - Teens 13 or older,7.8,7501,956.0,5360,15094,10,,,['Slice of Life'],"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",[]
996,New Initial D Movie: Legend 1 - Kakusei,Movie,Manga,1.0,Finished Airing,2014-08-24,,62,PG-13 - Teens 13 or older,7.79,18973,991.0,3570,38195,81,,,['Action'],['Racing'],['Seinen']
997,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,Light novel,1.0,Finished Airing,2017-04-15,,47,PG-13 - Teens 13 or older,7.79,5393,981.0,5433,14504,25,,,"['Drama', 'Fantasy', 'Slice of Life']",['Mahou Shoujo'],[]
998,Digimon Adventure: Bokura no War Game!,Movie,Original,1.0,Finished Airing,2000-03-04,,41,PG - Children,7.79,48786,985.0,2387,78663,344,,,"['Adventure', 'Comedy', 'Sci-Fi']",[],['Kids']
999,Last Exile,TV,Original,26.0,Finished Airing,2003-04-08,2003-09-30,24,PG-13 - Teens 13 or older,7.79,70991,988.0,1343,174278,1861,spring,2003.0,"['Action', 'Adventure', 'Sci-Fi']",[],[]
1000,Meitantei Conan Movie 09: Suihei Senjou no Strategy,Movie,Manga,1.0,Finished Airing,2005-04-09,,110,PG-13 - Teens 13 or older,7.79,28826,989.0,3086,49650,21,,,"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen']
1001,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,TV,Manga,373.0,Finished Airing,1996-06-16,2004-12-19,25,PG-13 - Teens 13 or older,7.79,6777,987.0,4963,18587,200,summer,1996.0,['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen']
1002,Sonny Boy,TV,Original,12.0,Finished Airing,2021-07-16,2021-10-01,24,PG-13 - Teens 13 or older,7.79,108336,975.0,770,305423,6492,summer,2021.0,"['Award Winning', 'Mystery']","['Isekai', 'Super Power']",[]
1003,Saint☆Oniisan (Movie),Movie,Manga,1.0,Finished Airing,2013-05-10,,89,PG-13 - Teens 13 or older,7.79,43361,981.0,2111,95569,466,,,['Comedy'],[],['Seinen']
1004,Tokyo Ghoul,TV,Manga,12.0,Finished Airing,2014-07-04,2014-09-19,24,R - 17+ (violence & profanity),7.79,1850859,992.0,10,2796367,50199,summer,2014.0,"['Action', 'Fantasy', 'Horror', 'Suspense']","['Gore', 'Psychological']",['Seinen']
1005,Wan Sheng Jie 3,ONA,Web manga,12.0,Finished Airing,2022-01-26,2022-04-06,4,PG-13 - Teens 13 or older,7.79,3838,980.0,6950,7930,44,,,"['Comedy', 'Fantasy']",['Mythology'],[]
1006,The Last: Naruto the Movie,Movie,Manga,1.0,Finished Airing,2014-12-06,,112,PG-13 - Teens 13 or older,7.79,402336,977.0,354,604053,2195,,,"['Action', 'Adventure', 'Fantasy', 'Romance']",[],['Shounen']
1007,Seikai no Senki II,TV,Light novel,10.0,Finished Airing,2001-07-11,2001-09-26,25,PG-13 - Teens 13 or older,7.79,11796,994.0,4464,23775,121,summer,2001.0,"['Action', 'Romance', 'Sci-Fi']","['Military', 'Space']",[]
1008,Crayon Shin-chan,TV,Manga,,Currently Airing,1992-04-13,,21,G - All Ages,7.79,40224,982.0,2306,83104,1239,spring,1992.0,"['Comedy', 'Ecchi']",['School'],['Seinen']
1009,Akage no Anne,TV,Novel,50.0,Finished Airing,1979-01-07,1979-12-30,25,G - All Ages,7.79,9695,981.0,3825,32985,796,winter,1979.0,['Drama'],['Historical'],[]
1010,Emiya-san Chi no Kyou no Gohan,ONA,Web manga,13.0,Finished Airing,2018-01-25,2019-01-01,13,PG-13 - Teens 13 or older,7.79,58499,987.0,1698,131068,736,,,"['Gourmet', 'Slice of Life']",['Iyashikei'],[]
1011,Migi to Dali,TV,Manga,13.0,Finished Airing,2023-10-02,2023-12-25,23,PG-13 - Teens 13 or older,7.79,23501,990.0,2644,66316,441,fall,2023.0,"['Comedy', 'Mystery', 'Suspense']",[],['Seinen']
1012,Taishou Otome Otogibanashi,TV,Manga,12.0,Finished Airing,2021-10-09,2021-12-25,23,PG-13 - Teens 13 or older,7.79,60690,976.0,1562,143806,1152,fall,2021.0,"['Comedy', 'Drama', 'Romance']",['Historical'],['Shounen']
1013,Psycho-Pass 3: First Inspector,ONA,Original,3.0,Finished Airing,2020-03-27,,46,R - 17+ (violence & profanity),7.79,39295,992.0,2095,96454,157,,,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Psychological']",[]
1014,Ginga Tetsudou 999,TV,Manga,113.0,Finished Airing,1978-09-14,1981-03-26,24,G - All Ages,7.79,7055,988.0,3582,38042,467,fall,1978.0,"['Adventure', 'Drama', 'Sci-Fi']",['Space'],[]
1015,Watashi no Shiawase na Kekkon,TV,Novel,12.0,Finished Airing,2023-07-05,2023-09-20,23,PG-13 - Teens 13 or older,7.78,121711,995.0,927,257370,2581,summer,2023.0,"['Drama', 'Fantasy', 'Romance']","['Adult Cast', 'Historical']",[]
1016,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,TV,Novel,12.0,Finished Airing,2018-04-03,2018-06-26,25,R - 17+ (violence & profanity),7.78,34657,1010.0,2268,85393,591,spring,2018.0,"['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[]
1017,Coquelicot-zaka kara,Movie,Manga,1.0,Finished Airing,2011-07-16,,95,G - All Ages,7.78,119167,1008.0,1166,202294,1198,,,"['Award Winning', 'Romance']","['Historical', 'School']",['Shoujo']
1018,Gochuumon wa Usagi desu ka?? Dear My Sister,Movie,4-koma manga,1.0,Finished Airing,2017-11-11,,60,PG-13 - Teens 13 or older,7.78,17610,1011.0,3390,41951,128,,,['Slice of Life'],"['CGDCT', 'Iyashikei', 'Workplace']",[]
1019,Kekkai Sensen & Beyond,TV,Manga,12.0,Finished Airing,2017-10-08,2017-12-24,24,R - 17+ (violence & profanity),7.78,196018,995.0,513,435021,1664,fall,2017.0,"['Action', 'Fantasy']","['Super Power', 'Vampire']",['Shounen']
1020,Macross F Movie 1: Itsuwari no Utahime,Movie,Original,1.0,Finished Airing,2009-11-21,,119,PG-13 - Teens 13 or older,7.78,15840,996.0,3963,30923,57,,,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Music', 'Space']",[]
1021,"Ame wo Matsu,",Music,Original,1.0,Finished Airing,2020-06-30,,5,G - All Ages,7.78,3624,,7784,5948,17,,,[],['Music'],[]
1022,Shin Kidou Senki Gundam Wing: Endless Waltz Special,Movie,Original,1.0,Finished Airing,1998-08-01,,94,PG-13 - Teens 13 or older,7.78,36174,1002.0,2799,59976,192,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[]
1023,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,OVA,Original,1.0,Finished Airing,2009-07-24,,116,R - 17+ (violence & profanity),7.78,18354,1006.0,3111,48931,84,,,['Action'],"['Mecha', 'Military', 'Super Power']",[]
1024,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,Visual novel,1.0,Finished Airing,2009-07-01,,23,PG-13 - Teens 13 or older,7.78,168348,1005.0,909,262938,579,,,"['Drama', 'Romance']",['School'],[]
1025,Meitantei Conan Movie 12: Senritsu no Full Score,Movie,Manga,1.0,Finished Airing,2008-04-19,,116,PG-13 - Teens 13 or older,7.78,27215,997.0,3171,47225,25,,,"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen']
1026,Mind Game,Movie,Manga,1.0,Finished Airing,2004-08-07,,103,R - 17+ (violence & profanity),7.78,31839,999.0,2266,85646,1105,,,"['Adventure', 'Avant Garde', 'Award Winning', 'Comedy', 'Romance']","['Adult Cast', 'Psychological']",[]
1027,Heike Monogatari,TV,Book,11.0,Finished Airing,2022-01-13,2022-03-24,23,PG-13 - Teens 13 or older,7.78,25095,1012.0,2379,79076,662,winter,2022.0,['Drama'],"['Historical', 'Samurai']",[]
