,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
0,Sousou no Frieren,TV,Manga,28.0,Currently Airing,2023-09-29,2024-03-22,24,PG-13 - Teens 13 or older,9.15,189697,1.0,379,566535,20720,fall,2023.0,"['Adventure', 'Drama', 'Fantasy']",[],['Shounen']
1,Fullmetal Alchemist: Brotherhood,TV,Manga,64.0,Finished Airing,2009-04-05,2010-07-04,24,R - 17+ (violence & profanity),9.09,2100761,2.0,3,3312847,224338,spring,2009.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen']
2,Steins;Gate,TV,Visual novel,24.0,Finished Airing,2011-04-06,2011-09-14,24,PG-13 - Teens 13 or older,9.07,1387448,3.0,13,2540312,188400,spring,2011.0,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[]
3,Gintama°,TV,Manga,51.0,Finished Airing,2015-04-08,2016-03-30,24,PG-13 - Teens 13 or older,9.06,248787,4.0,338,624445,16538,spring,2015.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
4,Shingeki no Kyojin Season 3 Part 2,TV,Manga,10.0,Finished Airing,2019-04-29,2019-07-01,23,R - 17+ (violence & profanity),9.05,1567159,5.0,21,2246431,58151,spring,2019.0,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
5,Gintama: The Final,Movie,Manga,1.0,Finished Airing,2021-01-08,,104,PG-13 - Teens 13 or older,9.04,70607,6.0,1540,147274,4260,,,"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
6,Hunter x Hunter (2011),TV,Manga,148.0,Finished Airing,2011-10-02,2014-09-24,23,PG-13 - Teens 13 or older,9.04,1740589,7.0,9,2797922,208529,fall,2011.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
7,Gintama',TV,Manga,51.0,Finished Airing,2011-04-04,2012-03-26,24,PG-13 - Teens 13 or older,9.03,235444,8.0,395,550850,8099,spring,2011.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
8,Gintama': Enchousen,TV,Manga,13.0,Finished Airing,2012-10-04,2013-03-28,24,PG-13 - Teens 13 or older,9.02,164033,11.0,736,322534,3055,fall,2012.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
9,Ginga Eiyuu Densetsu,OVA,Novel,110.0,Finished Airing,1988-01-08,1997-03-17,26,R - 17+ (violence & profanity),9.02,78445,10.0,744,318926,16210,,,"['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[]
10,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,Manga,13.0,Finished Airing,2022-04-09,2022-06-25,23,PG-13 - Teens 13 or older,9.02,510408,12.0,183,908890,30882,spring,2022.0,"['Comedy', 'Romance']",['School'],['Seinen']
11,Bleach: Sennen Kessen-hen,TV,Manga,13.0,Finished Airing,2022-10-11,2022-12-27,24,R - 17+ (violence & profanity),9.02,269851,9.0,416,525270,20197,fall,2022.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
12,Gintama.,TV,Manga,12.0,Finished Airing,2017-01-09,2017-03-27,24,PG-13 - Teens 13 or older,8.98,144699,14.0,757,311758,2721,winter,2017.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
13,Fruits Basket: The Final,TV,Manga,13.0,Finished Airing,2021-04-06,2021-06-29,23,PG-13 - Teens 13 or older,8.98,232076,13.0,476,469320,19847,spring,2021.0,"['Drama', 'Romance', 'Supernatural']",[],['Shoujo']
14,Gintama,TV,Manga,201.0,Finished Airing,2006-04-04,2010-03-25,24,PG-13 - Teens 13 or older,8.94,393674,15.0,139,1057687,59136,spring,2006.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
15,Clannad: After Story,TV,Visual novel,24.0,Finished Airing,2008-10-03,2009-03-27,24,PG-13 - Teens 13 or older,8.93,655855,16.0,118,1184862,70061,fall,2008.0,"['Drama', 'Romance', 'Supernatural']",[],[]
16,Koe no Katachi,Movie,Manga,1.0,Finished Airing,2016-09-17,,130,PG-13 - Teens 13 or older,8.93,1595953,17.0,20,2302704,86899,,,"['Award Winning', 'Drama']",['Romantic Subtext'],['Shounen']
17,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special,Manga,2.0,Finished Airing,2023-03-04,2023-11-05,72,R - 17+ (violence & profanity),8.92,349754,18.0,343,617769,14957,,,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
18,3-gatsu no Lion 2nd Season,TV,Manga,22.0,Finished Airing,2017-10-14,2018-03-31,25,PG-13 - Teens 13 or older,8.92,197906,19.0,566,398727,15021,fall,2017.0,['Drama'],"['Childcare', 'Strategy Game']",['Seinen']
19,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,Manga,1.0,Finished Airing,2013-07-06,,110,PG-13 - Teens 13 or older,8.91,134379,21.0,997,238895,2114,,,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",['Shounen']
20,Code Geass: Hangyaku no Lelouch R2,TV,Original,25.0,Finished Airing,2008-04-06,2008-09-28,24,R - 17+ (violence & profanity),8.91,1185399,20.0,46,1766147,76453,spring,2008.0,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",[]
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,Manga,14.0,Finished Airing,2018-07-09,2018-10-08,24,PG-13 - Teens 13 or older,8.88,94651,22.0,1204,196486,1040,summer,2018.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
22,Monster,TV,Manga,74.0,Finished Airing,2004-04-07,2005-09-28,24,R+ - Mild Nudity,8.88,408985,23.0,134,1099920,51883,spring,2004.0,"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']",['Seinen']
23,Owarimonogatari 2nd Season,TV Special,Light novel,7.0,Finished Airing,2017-08-12,2017-08-13,22,R - 17+ (violence & profanity),8.87,190498,24.0,572,395642,8614,,,"['Comedy', 'Mystery', 'Supernatural']",['Vampire'],[]
24,Violet Evergarden Movie,Movie,Light novel,1.0,Finished Airing,2020-09-18,,140,PG-13 - Teens 13 or older,8.87,268674,25.0,358,598522,8652,,,"['Award Winning', 'Drama', 'Fantasy']",[],[]
25,Jujutsu Kaisen 2nd Season,TV,Manga,23.0,Finished Airing,2023-07-06,2023-12-28,23,R - 17+ (violence & profanity),8.85,416595,26.0,200,858859,19340,summer,2023.0,"['Action', 'Fantasy']","['Gore', 'School']",['Shounen']
26,Kimi no Na wa.,Movie,Original,1.0,Finished Airing,2016-08-26,,106,PG-13 - Teens 13 or older,8.84,1884118,27.0,11,2714644,89888,,,"['Award Winning', 'Drama', 'Supernatural']",['Romantic Subtext'],[]
27,Kusuriya no Hitorigoto,TV,Light novel,24.0,Currently Airing,2023-10-22,2024-03-24,22,PG-13 - Teens 13 or older,8.83,79473,28.0,781,302418,5699,fall,2023.0,"['Drama', 'Mystery']","['Historical', 'Medical']",[]
28,Kingdom 3rd Season,TV,Manga,26.0,Finished Airing,2020-04-06,2021-10-17,25,R - 17+ (violence & profanity),8.82,39016,29.0,2041,100535,2056,spring,2020.0,['Action'],"['Historical', 'Military']",['Seinen']
29,Boku no Kokoro no Yabai Yatsu Season 2,TV,Manga,13.0,Currently Airing,2024-01-07,2024-03-31,23,PG-13 - Teens 13 or older,8.81,25419,31.0,1731,126770,1715,winter,2024.0,"['Comedy', 'Romance']",['School'],['Shounen']
30,Vinland Saga Season 2,TV,Manga,24.0,Finished Airing,2023-01-10,2023-06-20,25,R - 17+ (violence & profanity),8.81,292234,30.0,373,580024,13234,winter,2023.0,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",['Seinen']
31,Gintama.: Shirogane no Tamashii-hen,TV,Manga,12.0,Finished Airing,2018-01-08,2018-03-26,24,PG-13 - Teens 13 or older,8.81,103261,32.0,1135,210740,1167,winter,2018.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
32,Bocchi the Rock!,TV,4-koma manga,12.0,Finished Airing,2022-10-09,2022-12-25,23,PG-13 - Teens 13 or older,8.8,324753,33.0,399,542456,26385,fall,2022.0,['Comedy'],"['CGDCT', 'Music']",[]
33,The First Slam Dunk,Movie,Manga,1.0,Finished Airing,2022-12-03,,124,PG-13 - Teens 13 or older,8.8,10871,34.0,3623,37216,461,,,"['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen']
34,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,Manga,1.0,Finished Airing,2022-12-17,,96,PG-13 - Teens 13 or older,8.79,133708,35.0,957,250283,1790,,,"['Comedy', 'Drama', 'Romance']",['School'],['Seinen']
35,Mob Psycho 100 II,TV,Web manga,13.0,Finished Airing,2019-01-07,2019-04-01,24,PG-13 - Teens 13 or older,8.79,953574,36.0,73,1511216,32211,winter,2019.0,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[]
36,Shingeki no Kyojin: The Final Season,TV,Manga,16.0,Finished Airing,2020-12-07,2021-03-29,23,R - 17+ (violence & profanity),8.79,1308319,37.0,35,1971012,52103,winter,2021.0,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
37,Idol,Music,Original,1.0,Finished Airing,2023-04-12,,3,PG-13 - Teens 13 or older,8.78,17021,,4392,24630,367,,,[],['Music'],[]
38,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,Manga,10.0,Finished Airing,2016-10-08,2016-12-10,24,PG-13 - Teens 13 or older,8.78,789195,39.0,117,1190126,15440,fall,2016.0,['Sports'],"['School', 'Team Sports']",['Shounen']
39,Kizumonogatari III: Reiketsu-hen,Movie,Light novel,1.0,Finished Airing,2017-01-06,,83,R - 17+ (violence & profanity),8.78,266542,38.0,486,458019,7475,,,"['Action', 'Mystery', 'Supernatural']",['Vampire'],[]
40,Hajime no Ippo,TV,Manga,75.0,Finished Airing,2000-10-04,2002-03-27,23,PG-13 - Teens 13 or older,8.77,287783,40.0,369,584798,21762,fall,2000.0,['Sports'],['Combat Sports'],['Shounen']
41,Sen to Chihiro no Kamikakushi,Movie,Original,1.0,Finished Airing,2001-07-20,,124,PG - Children,8.77,1287368,41.0,44,1837441,32577,,,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],[]
42,Shingeki no Kyojin: The Final Season Part 2,TV,Manga,12.0,Finished Airing,2022-01-10,2022-04-04,23,R - 17+ (violence & profanity),8.77,728374,42.0,103,1264283,29995,winter,2022.0,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
43,Kingdom 5th Season,TV,Manga,,Currently Airing,2024-01-14,,24,R - 17+ (violence & profanity),8.76,3022,44.0,4239,26683,281,winter,2024.0,['Action'],"['Historical', 'Military']",['Seinen']
44,Monogatari Series: Second Season,TV,Light novel,26.0,Finished Airing,2013-07-07,2013-12-29,25,R - 17+ (violence & profanity),8.76,355343,45.0,301,665627,23365,summer,2013.0,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",['Vampire'],[]
45,Kimetsu no Yaiba: Yuukaku-hen,TV,Manga,11.0,Finished Airing,2021-12-05,2022-02-13,26,R - 17+ (violence & profanity),8.76,883540,43.0,90,1396040,24309,winter,2022.0,"['Action', 'Fantasy']",['Historical'],['Shounen']
46,Vinland Saga,TV,Manga,24.0,Finished Airing,2019-07-08,2019-12-30,24,R - 17+ (violence & profanity),8.75,853457,46.0,78,1486919,46523,summer,2019.0,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",['Seinen']
47,Cowboy Bebop,TV,Original,26.0,Finished Airing,1998-04-03,1999-04-24,24,R - 17+ (violence & profanity),8.75,955468,47.0,43,1848337,81696,spring,1998.0,"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']",[]
48,Kingdom 4th Season,TV,Manga,26.0,Finished Airing,2022-04-10,2022-10-02,24,R - 17+ (violence & profanity),8.74,25717,48.0,2744,61983,1036,spring,2022.0,['Action'],"['Historical', 'Military']",['Seinen']
49,Mushishi Zoku Shou 2nd Season,TV,Manga,10.0,Finished Airing,2014-10-19,2014-12-21,23,PG-13 - Teens 13 or older,8.73,105537,49.0,904,264294,1467,fall,2014.0,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen']
50,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Manga,12.0,Finished Airing,2017-01-07,2017-03-25,24,PG-13 - Teens 13 or older,8.72,64796,52.0,1264,186375,3143,winter,2017.0,['Drama'],"['Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts']",['Josei']
51,Ashita no Joe 2,TV,Manga,47.0,Finished Airing,1980-10-13,1981-08-31,24,PG-13 - Teens 13 or older,8.72,20010,51.0,3040,51302,2623,fall,1980.0,"['Drama', 'Sports']",['Combat Sports'],['Shounen']
52,One Piece,TV,Manga,,Currently Airing,1999-10-20,,24,PG-13 - Teens 13 or older,8.72,1318714,50.0,19,2324137,217527,fall,1999.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
53,Mob Psycho 100 III,TV,Web manga,12.0,Finished Airing,2022-10-06,2022-12-22,23,PG-13 - Teens 13 or older,8.71,313114,54.0,309,656586,9958,fall,2022.0,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[]
54,Tian Guan Cifu Er,ONA,Web novel,12.0,Finished Airing,2023-10-18,2024-01-17,24,PG-13 - Teens 13 or older,8.71,10482,53.0,3468,40329,897,,,"['Action', 'Adventure', 'Drama', 'Fantasy']","['Historical', 'Mythology']",[]
55,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,Manga,13.0,Finished Airing,2023-07-08,2023-09-30,24,R - 17+ (violence & profanity),8.7,129415,57.0,938,254984,4006,summer,2023.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
56,Code Geass: Hangyaku no Lelouch,TV,Original,25.0,Finished Airing,2006-10-06,2007-07-29,24,R - 17+ (violence & profanity),8.7,1389961,58.0,22,2232660,108344,fall,2006.0,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",[]
57,86 Part 2,TV,Light novel,12.0,Finished Airing,2021-10-03,2022-03-19,23,R - 17+ (violence & profanity),8.7,273766,56.0,455,485822,14495,fall,2021.0,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",[]
58,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,Manga,4.0,Finished Airing,1999-02-20,1999-09-22,29,R - 17+ (violence & profanity),8.7,137426,55.0,867,275555,6264,,,"['Action', 'Drama', 'Romance']","['Adult Cast', 'Historical', 'Samurai']",['Shounen']
59,"""Oshi no Ko""",TV,Manga,11.0,Finished Airing,2023-04-12,2023-06-28,30,PG-13 - Teens 13 or older,8.69,438440,59.0,254,755593,27303,spring,2023.0,"['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']",['Seinen']
60,Mushishi Zoku Shou,TV,Manga,10.0,Finished Airing,2014-04-05,2014-06-21,24,PG-13 - Teens 13 or older,8.69,118000,61.0,796,298090,1566,spring,2014.0,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen']
61,Great Teacher Onizuka,TV,Manga,43.0,Finished Airing,1999-06-30,2000-09-17,25,R - 17+ (violence & profanity),8.69,403055,60.0,218,819782,26276,summer,1999.0,['Comedy'],"['Delinquents', 'School', 'Workplace']",['Shounen']
62,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,Light novel,12.0,Finished Airing,2021-10-04,2021-12-20,23,R - 17+ (violence & profanity),8.68,558158,62.0,188,895614,18384,fall,2021.0,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",[]
63,Shiguang Dailiren,ONA,Original,11.0,Finished Airing,2021-04-30,2021-07-09,23,PG-13 - Teens 13 or older,8.68,133357,63.0,652,356278,11348,,,"['Drama', 'Mystery', 'Supernatural', 'Suspense']","['Adult Cast', 'Time Travel']",[]
64,Hajime no Ippo: New Challenger,TV,Manga,26.0,Finished Airing,2009-01-07,2009-07-01,23,PG-13 - Teens 13 or older,8.67,165600,66.0,844,283412,1789,winter,2009.0,['Sports'],['Combat Sports'],['Shounen']
65,Odd Taxi,TV,Original,13.0,Finished Airing,2021-04-06,2021-06-29,23,PG-13 - Teens 13 or older,8.67,210499,64.0,530,424674,8131,spring,2021.0,"['Award Winning', 'Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Anthropomorphic', 'Organized Crime']",[]
66,Violet Evergarden,TV,Light novel,13.0,Finished Airing,2018-01-11,2018-04-05,24,PG-13 - Teens 13 or older,8.67,963837,65.0,47,1761832,60962,winter,2018.0,"['Drama', 'Fantasy']",[],[]
67,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,Visual novel,1.0,Finished Airing,2020-08-15,,122,R - 17+ (violence & profanity),8.66,185286,67.0,670,346821,8021,,,"['Action', 'Fantasy', 'Supernatural']",[],[]
68,Mushishi,TV,Manga,26.0,Finished Airing,2005-10-23,2006-06-19,23,PG-13 - Teens 13 or older,8.66,276702,70.0,214,823402,26761,fall,2005.0,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen']
69,Howl no Ugoku Shiro,Movie,Novel,1.0,Finished Airing,2004-11-20,,119,G - All Ages,8.66,914889,68.0,99,1322853,28673,,,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",[],[]
70,Mononoke Hime,Movie,Original,1.0,Finished Airing,1997-07-12,,133,PG-13 - Teens 13 or older,8.66,803768,69.0,105,1244024,21778,,,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",[],[]
71,Bungou Stray Dogs 5th Season,TV,Manga,11.0,Finished Airing,2023-07-12,2023-09-20,23,R - 17+ (violence & profanity),8.65,71691,72.0,1370,169104,2040,summer,2023.0,"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Detective', 'Organized Crime', 'Super Power', 'Vampire']",['Seinen']
72,Made in Abyss,TV,Web manga,13.0,Finished Airing,2017-07-07,2017-09-29,25,R - 17+ (violence & profanity),8.65,739958,71.0,93,1364258,43810,summer,2017.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['Gore'],[]
73,Natsume Yuujinchou Shi,TV,Manga,13.0,Finished Airing,2012-01-03,2012-03-27,24,PG-13 - Teens 13 or older,8.64,107976,74.0,983,243722,2005,winter,2012.0,"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",['Shoujo']
74,Shigatsu wa Kimi no Uso,TV,Manga,22.0,Finished Airing,2014-10-10,2015-03-20,22,PG-13 - Teens 13 or older,8.64,1337141,75.0,23,2191417,85288,fall,2014.0,"['Drama', 'Romance']","['Love Polygon', 'Music', 'School']",['Shounen']
75,Made in Abyss: Retsujitsu no Ougonkyou,TV,Web manga,12.0,Finished Airing,2022-07-06,2022-09-28,25,R - 17+ (violence & profanity),8.64,193382,73.0,519,433023,5910,summer,2022.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']","['Gore', 'Survival']",[]
76,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,Manga,12.0,Finished Airing,2020-04-11,2020-06-27,24,PG-13 - Teens 13 or older,8.63,851405,76.0,97,1326883,18802,spring,2020.0,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen']
77,Tengen Toppa Gurren Lagann,TV,Original,27.0,Finished Airing,2007-04-01,2007-09-30,24,PG-13 - Teens 13 or older,8.63,894135,78.0,64,1599828,78017,spring,2007.0,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",['Mecha'],[]
78,Haikyuu!! Second Season,TV,Manga,25.0,Finished Airing,2015-10-04,2016-03-27,24,PG-13 - Teens 13 or older,8.63,934145,77.0,87,1415509,15647,fall,2015.0,['Sports'],"['School', 'Team Sports']",['Shounen']
79,Natsume Yuujinchou Roku,TV,Manga,11.0,Finished Airing,2017-04-12,2017-06-21,23,PG-13 - Teens 13 or older,8.62,67511,80.0,1277,184658,1085,spring,2017.0,"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",['Shoujo']
80,Ping Pong the Animation,TV,Manga,11.0,Finished Airing,2014-04-11,2014-06-20,23,PG-13 - Teens 13 or older,8.62,182704,81.0,584,390450,15819,spring,2014.0,"['Award Winning', 'Drama', 'Sports']",[],['Seinen']
81,Death Note,TV,Manga,37.0,Finished Airing,2006-10-04,2007-06-27,23,R - 17+ (violence & profanity),8.62,2721292,83.0,2,3865454,172926,fall,2006.0,"['Supernatural', 'Suspense']",['Psychological'],['Shounen']
82,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,Web manga,1.0,Finished Airing,2020-01-17,,105,R - 17+ (violence & profanity),8.62,251165,79.0,488,455820,3549,,,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['Gore'],[]
83,Shingeki no Kyojin Season 3,TV,Manga,12.0,Finished Airing,2018-07-23,2018-10-15,23,R - 17+ (violence & profanity),8.62,1593595,82.0,18,2339395,20608,summer,2018.0,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
84,Jujutsu Kaisen,TV,Manga,24.0,Finished Airing,2020-10-03,2021-03-27,23,R - 17+ (violence & profanity),8.61,1630505,84.0,15,2491143,89396,fall,2020.0,"['Action', 'Award Winning', 'Fantasy']",['School'],['Shounen']
85,Suzumiya Haruhi no Shoushitsu,Movie,Light novel,1.0,Finished Airing,2010-02-06,,161,PG-13 - Teens 13 or older,8.6,308799,87.0,352,606072,13515,,,"['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural']",['School'],[]
86,Cyberpunk: Edgerunners,ONA,Game,10.0,Finished Airing,2022-09-13,,25,R+ - Mild Nudity,8.6,488242,85.0,275,718627,24085,,,"['Action', 'Sci-Fi']","['Gore', 'Organized Crime']",[]
87,Hajime no Ippo: Rising,TV,Manga,25.0,Finished Airing,2013-10-06,2014-03-30,22,PG-13 - Teens 13 or older,8.6,141613,86.0,928,257042,1279,fall,2013.0,['Sports'],['Combat Sports'],['Shounen']
88,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,Light novel,1.0,Finished Airing,2019-06-15,,90,PG-13 - Teens 13 or older,8.59,445385,90.0,283,702921,10211,,,"['Drama', 'Romance', 'Supernatural']",['School'],[]
89,Shin Evangelion Movie: ||,Movie,Original,1.0,Finished Airing,2021-03-08,,155,PG-13 - Teens 13 or older,8.59,157338,91.0,625,370248,7390,,,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",[]
90,Mushishi Zoku Shou: Suzu no Shizuku,Movie,Manga,1.0,Finished Airing,2015-05-16,,47,PG-13 - Teens 13 or older,8.59,50655,89.0,1721,127745,218,,,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen']
91,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,Manga,1.0,Finished Airing,2020-10-16,,116,R - 17+ (violence & profanity),8.59,1005761,88.0,71,1515286,13153,,,"['Action', 'Fantasy']",['Historical'],['Shounen']
92,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,Original,1.0,Finished Airing,2009-04-22,,125,R+ - Mild Nudity,8.58,101251,93.0,1111,215169,1011,,,"['Action', 'Sci-Fi']","['Mecha', 'Space', 'Super Power']",[]
93,Kenpuu Denki Berserk,TV,Manga,25.0,Finished Airing,1997-10-08,1998-04-01,23,R+ - Mild Nudity,8.58,349135,92.0,316,650495,27371,fall,1997.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military']",['Seinen']
94,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,Manga,14.0,Finished Airing,2022-12-01,,24,R - 17+ (violence & profanity),8.57,127415,95.0,1218,193216,2854,,,"['Action', 'Adventure', 'Supernatural']",[],['Shounen']
95,Natsume Yuujinchou Go,TV,Manga,11.0,Finished Airing,2016-10-05,2016-12-21,23,PG-13 - Teens 13 or older,8.57,74470,97.0,1281,184563,821,fall,2016.0,"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",['Shoujo']
96,Kizumonogatari II: Nekketsu-hen,Movie,Light novel,1.0,Finished Airing,2016-08-19,,64,R - 17+ (violence & profanity),8.57,267312,96.0,507,441463,2340,,,"['Action', 'Mystery', 'Supernatural']",['Vampire'],[]
97,Ookami Kodomo no Ame to Yuki,Movie,Original,1.0,Finished Airing,2012-07-21,,117,PG-13 - Teens 13 or older,8.57,457077,99.0,227,808311,11369,,,"['Award Winning', 'Fantasy', 'Slice of Life']",['Childcare'],[]
98,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,Manga,39.0,Finished Airing,2018-10-06,2019-07-28,23,R - 17+ (violence & profanity),8.57,676942,94.0,153,1012580,31604,fall,2018.0,"['Action', 'Adventure', 'Supernatural']",['Organized Crime'],['Shounen']
99,Natsume Yuujinchou San,TV,Manga,13.0,Finished Airing,2011-07-05,2011-09-27,24,PG-13 - Teens 13 or older,8.57,117303,98.0,952,250996,1422,summer,2011.0,"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",['Shoujo']
100,Shouwa Genroku Rakugo Shinjuu,TV,Manga,13.0,Finished Airing,2016-01-09,2016-04-02,26,PG-13 - Teens 13 or older,8.56,93738,100.0,830,289846,5818,winter,2016.0,['Drama'],"['Historical', 'Love Polygon', 'Performing Arts']",['Josei']
101,Yojouhan Shinwa Taikei,TV,Novel,11.0,Finished Airing,2010-04-23,2010-07-02,22,R - 17+ (violence & profanity),8.56,144039,101.0,500,446991,18188,spring,2010.0,"['Award Winning', 'Comedy', 'Mystery', 'Romance', 'Suspense']","['Adult Cast', 'Psychological', 'Time Travel']",[]
102,Kimi no Suizou wo Tabetai,Movie,Novel,1.0,Finished Airing,2018-09-01,,108,PG-13 - Teens 13 or older,8.55,570328,104.0,161,953266,20571,,,"['Drama', 'Romance']",['School'],[]
103,Fate/Zero 2nd Season,TV,Light novel,12.0,Finished Airing,2012-04-08,2012-06-24,24,R - 17+ (violence & profanity),8.55,707136,106.0,132,1109917,20390,spring,2012.0,"['Action', 'Fantasy', 'Supernatural']",[],[]
104,Fruits Basket 2nd Season,TV,Manga,25.0,Finished Airing,2020-04-07,2020-09-22,23,PG-13 - Teens 13 or older,8.55,257541,107.0,434,503640,5993,spring,2020.0,"['Drama', 'Romance', 'Supernatural']",['School'],['Shoujo']
105,Slam Dunk,TV,Manga,101.0,Finished Airing,1993-10-16,1996-03-23,23,PG-13 - Teens 13 or older,8.55,135059,103.0,798,297776,7215,fall,1993.0,['Sports'],"['School', 'Team Sports']",['Shounen']
